,NAME,ONLINE_ORDER,BOOK_TABLE,RATE,DISH_LIKED,APPROX_COST(FOR TWO PEOPLE)
7597,Maashpacheez,Yes,No,3.6/5,"Chaat, Pav Bhaji, Kheer, Aloo Paratha, Rabri, Sweet Lassi",300
7600,The Spice Pavillion,Yes,No,3.7/5,"Panneer Butter Masala, Butter Chicken, Tangdi Kabab, Chicken Biryani, Roti, Vegetable Biryani",600
7601,Absolute Shawarma,Yes,No,NEW,"Panneer Butter Masala, Butter Chicken, Tangdi Kabab, Chicken Biryani, Roti, Vegetable Biryani",150
7602,Risalo Restaurant,Yes,No,NEW,"Panneer Butter Masala, Butter Chicken, Tangdi Kabab, Chicken Biryani, Roti, Vegetable Biryani",400
7603,Lenny's Burgers,Yes,No,NEW,"Panneer Butter Masala, Butter Chicken, Tangdi Kabab, Chicken Biryani, Roti, Vegetable Biryani",500
7605,Rivayat,Yes,No,NEW,"Panneer Butter Masala, Butter Chicken, Tangdi Kabab, Chicken Biryani, Roti, Vegetable Biryani",500
7606,Tummy Singh,Yes,No,NEW,"Panneer Butter Masala, Butter Chicken, Tangdi Kabab, Chicken Biryani, Roti, Vegetable Biryani",700
7607,Jalsa,Yes,Yes,4.2/5,"Mutton Curry, Stuffed Mushroom, Laccha Paratha, Prawn, Multani Paneer Tikka, Butter Chicken, Murgh Patiala",1500
7608,Tastybites.com,Yes,No,3.7/5,"Sandwiches, Chaat, Panipuri, Sandwich",150
7609,Apoorva Multi Cuisine Restaurant,Yes,No,3.9/5,"Palak Paneer, Chicken Boneless Biryani, Tandoori Chicken, Butter Naan, Buttermilk, Dal Fry, Roti",750
7610,Kaafi Desi,Yes,No,4.1/5,"Samosa, Jalebi, Rasmalai, Poha, Aloo Poori, Panipuri, Aloo Sabji",150
7611,Gaura's Secret Recipe,Yes,No,3.8/5,"Samosa, Jalebi, Rasmalai, Poha, Aloo Poori, Panipuri, Aloo Sabji",250
7612,Spicy House,Yes,No,3.7/5,"Biryani, Raita",500
7613,Crunchie Corner,Yes,No,4.0/5,"Waffles, Burgers, Pizza, Tea",450
7614,Namak Swad Anusaar,Yes,No,3.8/5,"Papdi Chaat, Panneer Butter Masala, Tea, Paneer Lababdar, Biryani, Kullad Chai, Chicken Tikka Masala",400
7615,Shaadi Ki Biryani,Yes,No,2.6/5,"Papdi Chaat, Panneer Butter Masala, Tea, Paneer Lababdar, Biryani, Kullad Chai, Chicken Tikka Masala",600
7616,The Pallavas ( Authentic Taste Of Southern Cuisine ),Yes,No,3.7/5,"Papdi Chaat, Panneer Butter Masala, Tea, Paneer Lababdar, Biryani, Kullad Chai, Chicken Tikka Masala",400
7617,Pita Pocket Factory,Yes,No,3.6/5,"Papdi Chaat, Panneer Butter Masala, Tea, Paneer Lababdar, Biryani, Kullad Chai, Chicken Tikka Masala",500
7618,The London Shakes,Yes,No,4.1/5,"Pasta, Burgers, Fries, Nachos, Exotic Garlic Bread, Pizza, Thick Shakes",300
7619,Food Square,Yes,No,3.6/5,"Pasta, Burgers, Fries, Nachos, Exotic Garlic Bread, Pizza, Thick Shakes",200
7620,Aashirvaad Restaurant,Yes,No,3.1/5,"Pasta, Burgers, Fries, Nachos, Exotic Garlic Bread, Pizza, Thick Shakes",300
7621,Beyond Elements,Yes,Yes,4.1/5,"Masala Chaach, Dal Makhani, Pasta, Wood Fire Pizza, Sweet Lassi, Bharwan Mushroom, Paneer Tikka Masala",900
7622,Salt Mango Tree,Yes,No,4.3/5,"Mushroom Soup, Faluda, Paratha, Banana Fritters, Kerala Parotta, Fruit Juices, Murgh Ghee Roast",1000
7623,Mr Manchurian,Yes,No,3.6/5,"Momos, Chicken Spring Rolls, Chilli Chicken, Chicken Momo, Chop Suey, Chicken Noodle, Hakka Noodles",500
7624,Daily Sushi,Yes,No,3.5/5,"Momos, Chicken Spring Rolls, Chilli Chicken, Chicken Momo, Chop Suey, Chicken Noodle, Hakka Noodles",900
7625,Golkonda Chimney,Yes,Yes,3.7/5,"Paneer Tikka, Carrot Halwa, Rolls, Mutton Biryani, Chilli Chicken, Chicken Manchow Soup, Tom Yum Soup",850
7627,Nikhil's Food Court,Yes,No,NEW,"Paneer Tikka, Carrot Halwa, Rolls, Mutton Biryani, Chilli Chicken, Chicken Manchow Soup, Tom Yum Soup",300
7629,Crazy Crush - Juices & Desserts Cafe,Yes,No,3.4/5,"Paneer Tikka, Carrot Halwa, Rolls, Mutton Biryani, Chilli Chicken, Chicken Manchow Soup, Tom Yum Soup",300
7630,Odisha Kitchen,Yes,No,3.1/5,"Veg Thali, Fish Thali",500
7631,Rolls & Bowls,Yes,No,4.4/5,"Rolls, Noodles, Mughlai Paratha, Paneer Kathi Roll, Veg Manchow Soup, Crispy Chicken, Chicken Manchurian",250
7632,Not Just Waffles,Yes,No,4.1/5,"Waffles, Chocolate Bomb, Brownie Delight",400
7633,Swadist Restaurant,Yes,No,3.6/5,"Waffles, Chocolate Bomb, Brownie Delight",300
7634,Sri Lakshmi Vaibhav,Yes,No,4.0/5,"Waffles, Chocolate Bomb, Brownie Delight",500
7635,Auntie Fung's,Yes,No,NEW,"Waffles, Chocolate Bomb, Brownie Delight",700
