,NAME,ONLINE_ORDER,BOOK_TABLE,RATE,DISH_LIKED,APPROX_COST(FOR TWO PEOPLE)
0,Jalsa,Yes,Yes,4.1/5,"Pasta, Lunch Buffet, Masala Papad, Paneer Lajawab, Tomato Shorba, Dum Biryani, Sweet Corn Soup",800
1,Spice Elephant,Yes,No,4.1/5,"Momos, Lunch Buffet, Chocolate Nirvana, Thai Green Curry, Paneer Tikka, Dum Biryani, Chicken Biryani",800
2,San Churro Cafe,Yes,No,3.8/5,"Churros, Cannelloni, Minestrone Soup, Hot Chocolate, Pink Sauce Pasta, Salsa, Veg Supreme Pizza",800
3,Addhuri Udupi Bhojana,No,No,3.7/5,Masala Dosa,300
4,Grand Village,No,No,3.8/5,"Panipuri, Gol Gappe",600
5,Timepass Dinner,Yes,No,3.8/5,"Onion Rings, Pasta, Kadhai Paneer, Salads, Salad, Roti, Jeera Rice",600
6,Rosewood International Hotel - Bar & Restaurant,No,No,3.6/5,"Onion Rings, Pasta, Kadhai Paneer, Salads, Salad, Roti, Jeera Rice",800
7,Onesta,Yes,Yes,4.6/5,"Farmhouse Pizza, Chocolate Banana, Virgin Mojito, Pasta, Paneer Tikka, Lime Soda, Prawn Pizza",600
8,Penthouse Cafe,Yes,No,4.0/5,"Pizza, Mocktails, Coffee, Nachos, Salad, Pasta, Sandwiches",700
9,Smacznego,Yes,No,4.2/5,"Waffles, Pasta, Coleslaw Sandwich, Choco Waffle, Tacos, Momos, Cheese Nachos",550
10,CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Yes,No,4.1/5,"Waffles, Pasta, Crispy Chicken, Honey Chilli Chicken, Sandwich, Coffee, Crepe",500
11,Cafe Shuffle,Yes,Yes,4.2/5,"Mocktails, Peri Fries, Lasagne, Pizza, Chicken Bbq Wings, Virgin Mojito, Nachos",600
12,The Coffee Shack,Yes,Yes,4.2/5,"Coffee, Spaghetti, Pancakes, Nachos, Pasta, Sandwich, Garlic Bread",500
13,Caf-Eleven,No,No,4.0/5,"Sandwich, Omelette, Ice Tea, Virgin Mojito, Hot Chocolate, Pasta Arrabiata, Hazelnut Cappuccino",450
15,Cafe Vivacity,Yes,No,3.8/5,"Garlic Bread, Burgers, Sandwiches, Pizza, Hot Chocolate Fudge, Waffles, Potato Wedges",650
16,Catch-up-ino,Yes,No,3.9/5,"Momos, Mushroom Bruschettas, Jalapeno Cheeseballs, Pasta, Red Velvet Shake, Red Velvet Milkshake, Maggi",800
17,Kirthi's Biryani,Yes,No,3.8/5,"Pasta, Gelato, Garlic Bread, Mojito, Nachos, Paneer Pizza, Mocktails",700
18,T3H Cafe,No,No,3.9/5,"Cheese Maggi, Peri Peri Fries, Pasta Arrabiata",300
19,360 Atoms Restaurant And Cafe,Yes,No,3.1/5,"Cheese Maggi, Peri Peri Fries, Pasta Arrabiata",400
20,The Vintage Cafe,Yes,No,3.0/5,"Burgers, Caramel Milkshake, Iced Coffee, Iced Tea",400
21,Woodee Pizza,Yes,No,3.7/5,"Pizza, Garlic Bread",500
22,Cafe Coffee Day,No,No,3.6/5,"Pizza, Garlic Bread",900
23,My Tea House,Yes,No,3.6/5,"Pasta, Iced Tea",600
24,Hide Out Cafe,No,No,3.7/5,"Pasta, Iced Tea",300
25,CAFE NOVA,No,No,3.2/5,"Pasta, Iced Tea",600
26,Coffee Tindi,Yes,No,3.8/5,"Pasta, Iced Tea",200
27,Sea Green Cafe,No,No,3.3/5,"Pasta, Iced Tea",500
28,Cuppa,No,No,3.3/5,"Pasta, Iced Tea",550
29,Srinathji's Cafe,No,No,3.8/5,"Paratha, Sandwich, Chilli Idli, Noodles, Sandwiches, Lime Soda",550
30,Redberrys,Yes,No,4.0/5,"Pizza, Fries, Anjeer Ice Cream, Sandwiches, Gelato, Burgers, Kesar Badam",600
31,Foodiction,Yes,No,2.8/5,"Burgers, Lassi, Chicken Grill, Naan, Momos, Chicken Burger, Biryani",500
32,Sweet Truth,Yes,No,3.9/5,"Burgers, Lassi, Chicken Grill, Naan, Momos, Chicken Burger, Biryani",500
33,Ovenstory Pizza,Yes,No,3.9/5,"Paneer Tikka, Garlic Bread, Thin Crust Pizza, Falafel, Veggie Pizza",750
34,Faasos,Yes,No,4.2/5,"Rolls, Veggie Wrap, Chocolate Fantasy, Rice Bowls, Chicken Rice, Paneer Makhanwala, Chicken Tikka Wrap",500
35,Behrouz Biryani,Yes,No,3.9/5,"Raita, Gulab Jamun, Paneer Biryani, Vegetable Biryani, Gosht Dum Biryani, Chicken Biryani, Murgh Biryani",650
36,Fast And Fresh,Yes,No,2.8/5,"Raita, Gulab Jamun, Paneer Biryani, Vegetable Biryani, Gosht Dum Biryani, Chicken Biryani, Murgh Biryani",400
37,Szechuan Dragon,Yes,No,4.2/5,"Noodles, Momos, Veg Manchow Soup, Kung Pao Chicken, Chicken Lollipop, Chop Suey, Dragon Chicken",600
38,Empire Restaurant,Yes,No,4.4/5,"Chicken Tikka Masala, Mutton Keema Dosa, Mutton Biryani, Raan Biryani, Brain Fry, Chicken Grill, Ghee Rice",750
39,Maruthi Davangere Benne Dosa,Yes,No,4.0/5,"Chicken Tikka Masala, Mutton Keema Dosa, Mutton Biryani, Raan Biryani, Brain Fry, Chicken Grill, Ghee Rice",150
40,Chaatimes,Yes,No,3.8/5,"Dabeli, Faluda, Masala Poori, Sandwiches, Tokri Chaat, Pav Bhaji, Dahipuri",200
41,Havyaka Mess,No,No,3.9/5,"Dabeli, Faluda, Masala Poori, Sandwiches, Tokri Chaat, Pav Bhaji, Dahipuri",300
42,McDonald's,Yes,No,3.9/5,"Burgers, Fries, Hot Chocolate",500
43,Domino's Pizza,Yes,No,3.9/5,"Pane Pizza, Lava Cake, Pasta, Stuffed Garlic Bread, Chocolava Cake, Tacos",800
45,Hotboxit,No,No,3.8/5,Prompt Service,400
46,Kitchen Garden,Yes,No,3.6/5,Biryani,300
47,Recipe,Yes,No,4.0/5,"Butter Chicken, Noodles, Thali, Biryani",450
48,Beijing Bites,Yes,No,3.7/5,"Momos, Dragon Chicken, Hakka Noodles, Chowmein, Chop Suey, Chilli Garlic Noodles, Garlic Rice",850
49,Tasty Bytes,Yes,No,3.1/5,"Paratha, Pasta",300
50,Petoo,No,No,3.7/5,"Paratha, Pasta",450
51,Shree Cool Point,Yes,No,4.1/5,"Paratha, Pasta",150
52,Corner House Ice Cream,No,No,4.3/5,"Hot Chocolate Fudge, Vanilla Ice Cream, Fudge Cake, Chocolate Mousse",400
53,Biryanis And More,Yes,No,4.0/5,"Prawn Biryani, Dragon Chicken, Chicken Boneless Biryani, Afghani Biryani, Mughlai Biryani, Paneer Tikka Biryani, Gongura Biryani",750
54,Roving Feast,No,No,4.0/5,"Pasta, Momos, Rolls, Chicken Roll, Chilli Chicken, Paneer Roll, Spaghetti",450
55,FreshMenu,Yes,No,3.9/5,"Salads, Sandwiches, Salad, Thai Rice, Pasta, Noodles, Pizza",450
56,Banashankari Donne Biriyani,Yes,No,3.8/5,"Salads, Sandwiches, Salad, Thai Rice, Pasta, Noodles, Pizza",300
57,Wamama,Yes,Yes,4.2/5,"Sushi, Noodles, Wine, Khau Suey, Mocktails, Yakisoba, Spring Roll",800
58,Five Star Chicken,No,No,3.6/5,"Sushi, Noodles, Wine, Khau Suey, Mocktails, Yakisoba, Spring Roll",200
59,XO Belgian Waffle,Yes,No,3.7/5,"Sushi, Noodles, Wine, Khau Suey, Mocktails, Yakisoba, Spring Roll",400
60,Peppy Peppers,No,No,4.2/5,"Pasta, Pepper Pizza, Paneer Pizza, Peppy Paneer, Nachos, Supreme Pizza, Manchow Soup",800
61,Goa 0 Km,Yes,Yes,3.6/5,"Sea Food, Crab Meat, Crab Soup, Fish Curry, Chicken Cafreal, Butter Naan, Butter Chicken",800
62,Chinese Kitchen,Yes,No,3.8/5,"Sea Food, Crab Meat, Crab Soup, Fish Curry, Chicken Cafreal, Butter Naan, Butter Chicken",150
63,1947,No,Yes,4.0/5,"Salads, Panneer Butter Masala, Rabri, Gajar Ka Halwa, Manchow Soup, Aam Panna, Tomato Basil Soup",850
64,Cake of the Day,No,No,3.7/5,"Salads, Panneer Butter Masala, Rabri, Gajar Ka Halwa, Manchow Soup, Aam Panna, Tomato Basil Soup",150
65,Kabab Magic,Yes,No,4.1/5,"Grape Juice, Chicken Grill, Chicken Tikka Roll, Shawarma Roll, Chicken Shawarama, Biryani Combo, Rolls",400
66,Namma Brahmin's Idli,Yes,No,3.6/5,"Grape Juice, Chicken Grill, Chicken Tikka Roll, Shawarma Roll, Chicken Shawarama, Biryani Combo, Rolls",100
67,Gustoes Beer House,No,No,4.1/5,"Beer, Wedges, Pizza, Nachos, Salads, Papaya Salad, Buffalo Wings",1200
68,Sugar Rush,No,No,3.8/5,"Beer, Wedges, Pizza, Nachos, Salads, Papaya Salad, Buffalo Wings",300
69,Burger King,Yes,No,3.2/5,"Beer, Wedges, Pizza, Nachos, Salads, Papaya Salad, Buffalo Wings",600
70,The Good Bowl,Yes,No,3.6/5,"Beer, Wedges, Pizza, Nachos, Salads, Papaya Salad, Buffalo Wings",500
71,The Biryani Cafe,No,No,4.1/5,"Vegetable Biryani, Ginger Chicken, Chicken Biryani, Donne Biryani, Chicken Kebab, Egg Bhurji, Dum Biryani",300
72,Spicy Tandoor,No,No,NEW,"Vegetable Biryani, Ginger Chicken, Chicken Biryani, Donne Biryani, Chicken Kebab, Egg Bhurji, Dum Biryani",150
73,LSD Cafe,No,No,2.9/5,"Vegetable Biryani, Ginger Chicken, Chicken Biryani, Donne Biryani, Chicken Kebab, Egg Bhurji, Dum Biryani",700
74,Rolls On Wheels,No,No,3.6/5,"Rolls, Momos, Fries, Veggie Roll, Chicken Kebab Roll, Paneer Roll, Cheese Roll",300
75,Om Sri Vinayaka Chats,No,No,NEW,"Rolls, Momos, Fries, Veggie Roll, Chicken Kebab Roll, Paneer Roll, Cheese Roll",500
76,Sri Guru Kottureshwara Davangere Benne Dosa,Yes,No,4.1/5,"Benne Dosa, Mirchi Bajji, Filter Coffee, Poha, Tea, Butter Dosa, Crispy Dosa",150
77,Devanna Dum Biriyani Centre,Yes,No,3.6/5,"Benne Dosa, Mirchi Bajji, Filter Coffee, Poha, Tea, Butter Dosa, Crispy Dosa",300
78,Kolbeh,No,No,3.7/5,"Benne Dosa, Mirchi Bajji, Filter Coffee, Poha, Tea, Butter Dosa, Crispy Dosa",500
79,Upahar Sagar,No,No,3.8/5,Masala Dosa,350
80,Kadalu Sea Food Restaurant,Yes,No,3.8/5,Masala Dosa,500
81,Frozen Bottle,Yes,No,4.2/5,"Berryblast, Waffles, Cheesecake, Salted Caramel",400
82,Parimala Sweets,No,No,3.5/5,"Berryblast, Waffles, Cheesecake, Salted Caramel",200
83,Vaishali Deluxe,No,No,3.8/5,"Berryblast, Waffles, Cheesecake, Salted Caramel",700
85,The Big O Bakes,No,No,4.0/5,"Berryblast, Waffles, Cheesecake, Salted Caramel",300
86,Meghana Foods,Yes,No,4.4/5,"Chicken Boneless Biryani, Hyderabadi Biryani, Paneer Biryani, Tandoori Chicken, Vegetable Biryani, Chicken Kebab, Raita",600
87,Krishna Sagar,No,No,3.5/5,"Chicken Boneless Biryani, Hyderabadi Biryani, Paneer Biryani, Tandoori Chicken, Vegetable Biryani, Chicken Kebab, Raita",200
88,Dessert Rose,No,No,3.5/5,"Chicken Boneless Biryani, Hyderabadi Biryani, Paneer Biryani, Tandoori Chicken, Vegetable Biryani, Chicken Kebab, Raita",500
89,Chickpet Donne Biryani House,No,No,3.7/5,"Chicken Boneless Biryani, Hyderabadi Biryani, Paneer Biryani, Tandoori Chicken, Vegetable Biryani, Chicken Kebab, Raita",250
93,Thanco's Natural Ice Creams,No,No,3.2/5,"Chicken Boneless Biryani, Hyderabadi Biryani, Paneer Biryani, Tandoori Chicken, Vegetable Biryani, Chicken Kebab, Raita",300
94,Nandhini Deluxe,No,No,2.6/5,"Biryani, Chicken Guntur, Thali, Buttermilk, Manchurian",600
95,Vi Ra's Bar and Restaurant,No,No,3.3/5,Chilli Chicken,800
96,Kaggis,No,No,3.8/5,Chilli Chicken,250
97,Ayda Persian Kitchen,No,No,3.7/5,Chilli Chicken,950
98,Chatar Patar,No,No,3.7/5,"Panipuri, Chaat, Noodles, Dahi Bhalle",300
99,Polar Bear,Yes,No,3.8/5,Hot Chocolate Fudge,400
100,Kidambi's Kitchen,No,No,3.5/5,Rooftop Ambience,300
101,Mane Thindi,No,No,3.7/5,"Coffee, Tea, Kesari Bath, Open Dosa, Vada, Idli, Bread Dosa",200
102,Kotian Karavali Restaurant,No,No,3.5/5,"Coffee, Tea, Kesari Bath, Open Dosa, Vada, Idli, Bread Dosa",300
103,Floured-Baked With Love,No,No,3.8 /5,"Cup Cake, Chocolate Cake",400
105,Cakes & Slices,No,No,3.5/5,"Cup Cake, Chocolate Cake",300
106,Spice 9,No,No,3.4/5,"Cup Cake, Chocolate Cake",300
108,Naveen Kabab & Biriyani Mane,No,No,3.2/5,"Cup Cake, Chocolate Cake",300
109,Katriguppe Donne Biryani,No,No,3.2/5,"Cup Cake, Chocolate Cake",300
110,Hari Super Sandwich,No,No,NEW,"Cup Cake, Chocolate Cake",200
111,Atithi Point Ande Ka Funda,No,No,3.1/5,"Cup Cake, Chocolate Cake",150
112,Just Bake,No,No,3.4/5,"Cup Cake, Chocolate Cake",400
119,K27 - The Pub,No,No,3.1/5,"Cup Cake, Chocolate Cake",1000
120,Bengaluru Coffee House,Yes,No,4.1/5,"Masala Dosa, Tirupathi Pongal, Filter Coffee, Vada, Kharabath, Kali Dosa, Rava Idli",300
121,New Mangalore Lunch Home,No,No,3.3/5,"Masala Dosa, Tirupathi Pongal, Filter Coffee, Vada, Kharabath, Kali Dosa, Rava Idli",200
122,Coffee Bytes,No,No,3.1/5,"Masala Dosa, Tirupathi Pongal, Filter Coffee, Vada, Kharabath, Kali Dosa, Rava Idli",100
123,Parjanya Chat Zone,No,No,3.3/5,"Masala Dosa, Tirupathi Pongal, Filter Coffee, Vada, Kharabath, Kali Dosa, Rava Idli",200
124,Kwality Wall's Swirl's Happiness Station,No,No,2.9/5,"Masala Dosa, Tirupathi Pongal, Filter Coffee, Vada, Kharabath, Kali Dosa, Rava Idli",200
127,Ruchi Maayaka,No,No,3.3/5,"Masala Dosa, Tirupathi Pongal, Filter Coffee, Vada, Kharabath, Kali Dosa, Rava Idli",100
130,Roll Magic Fast Food,No,No,NEW,"Masala Dosa, Tirupathi Pongal, Filter Coffee, Vada, Kharabath, Kali Dosa, Rava Idli",200
131,Foodlieious Multi Cuisine,No,No,NEW,"Masala Dosa, Tirupathi Pongal, Filter Coffee, Vada, Kharabath, Kali Dosa, Rava Idli",100
132,Thanishka Nati And Karavali Style,No,No,NEW,"Masala Dosa, Tirupathi Pongal, Filter Coffee, Vada, Kharabath, Kali Dosa, Rava Idli",400
143,Melting Melodies,No,No,NEW,"Masala Dosa, Tirupathi Pongal, Filter Coffee, Vada, Kharabath, Kali Dosa, Rava Idli",100
144,New Indraprasta,No,No,NEW,"Masala Dosa, Tirupathi Pongal, Filter Coffee, Vada, Kharabath, Kali Dosa, Rava Idli",150
145,Anna Kuteera,Yes,No,4.0/5,"Panner Tikka, Kulfi, Coffee, Pav Bhaji, Carrot Halwa, Fried Rice, Set Dosa",450
146,Darbar,No,No,3.0/5,"Paneer Tikka, Dal Kichadi, French Fries",800
147,Vijayalakshmi,Yes,No,3.9/5,"Paneer Tikka, Dal Kichadi, French Fries",200
148,Sri Udupi Food Hub,Yes,Yes,4.1/5,"Filter Coffee, Masala Dosa, Idli, Vada",500
149,Udupi Upahar,Yes,No,3.8/5,"Filter Coffee, Masala Dosa, Idli, Vada",300
150,House Of Kebabs,Yes,No,3.8/5,"Rolls, Shawarma, Butter Chicken, Mutton Biryani, Lahori Chicken, Chicken Roll, Grape Juice",650
151,Roll N Rock,Yes,No,3.8/5,"Rolls, Paratha, Chicken Biryani",400
152,BOX8- Desi Meals,Yes,No,4.1/5,"Paratha, Mughlai Chicken, Masala Lemonade, Butter Chicken, Rajma, Sandwich, Salad",500
153,KFC,Yes,No,3.8/5,"Burgers, French Fries",450
154,Bitez,No,No,NEW,"Burgers, French Fries",100
155,Roll Over,Yes,No,4.1/5,"Rolls, Ice Cream Roll, Paan Ice Cream, Coffee, Vanilla Ice Cream, Chocolate Icecreams, Mississippi Mudpie",500
156,Imperial Restaurant,Yes,No,3.7/5,"Kadhai Paneer, Ghee Rice, Chicken Grill, Shawarma, Paratha, Biryani, Butter Chicken",750
157,Lassi Shop,Yes,No,3.9/5,"Kadhai Paneer, Ghee Rice, Chicken Grill, Shawarma, Paratha, Biryani, Butter Chicken",150
158,The Fortuna,Yes,No,3.0/5,"Kadhai Paneer, Ghee Rice, Chicken Grill, Shawarma, Paratha, Biryani, Butter Chicken",250
159,Wahab,Yes,No,3.7/5,"Chicken Biryani, Rolls",350
160,Al Diwan Biryanis And More,Yes,No,3.3/5,"Chicken Biryani, Rolls",300
161,New Gowda's Fried Chicken,Yes,No,3.3/5,"Chicken Biryani, Rolls",300
162,Canton,Yes,No,3.6/5,"Roast Pork, Tai Pai Chicken, Beer, Sweet Corn Chicken Soup, Masala Peanuts, Chinese Chop Suey, Chicken Lollipop",800
163,Diabetics Dezire Sugarless Sweets and Bakes,Yes,No,3.3/5,"Roast Pork, Tai Pai Chicken, Beer, Sweet Corn Chicken Soup, Masala Peanuts, Chinese Chop Suey, Chicken Lollipop",300
164,The Blue Wagon - Kitchen,Yes,No,4.6/5,"Pizza, Nachos, Garlic Maggi, Burgers, Cheese Maggi, Bruschetta Bites, Sandwich",400
165,HOT COFFEE,Yes,No,4.1/5,"Pizza, Nachos, Garlic Maggi, Burgers, Cheese Maggi, Bruschetta Bites, Sandwich",150
166,Patio 805,Yes,Yes,4.1/5,"Noodles, Laksa Soup, Coffee, Veg Fritters, Vegetarian, Babycorn Manchurian, Mango Salad",1200
167,Lassi Corner,Yes,No,3.7/5,Lassi,150
168,Sagar Deluxe,Yes,No,3.2/5,"Coffee, Chaat",300
169,Kanti Sweets,Yes,No,4.0/5,"Coffee, Chaat",400
170,Vegetalia,Yes,No,3.7/5,"Coffee, Chaat",400
171,Aramane Donne Biryani,Yes,No,3.5/5,"Coffee, Chaat",200
172,Ande Ka Funda,Yes,No,3.8/5,"Coffee, Chaat",250
173,Cake Ghar,Yes,No,3.8/5,"Coffee, Chaat",400
174,Energy Addaa,Yes,No,4.2/5,"Pizza, Nachos, Salads, Peri Peri Fries, Brownie, Pasta Alfredo, Spaghetti",500
175,Bhattara Bhojana,Yes,No,3.6/5,"Pizza, Nachos, Salads, Peri Peri Fries, Brownie, Pasta Alfredo, Spaghetti",150
176,Tandoori Knight,Yes,No,3.0/5,"Chicken Grill, Biryani, Roti, Chicken Masala",450
177,Dev Sagar - Food Street,Yes,No,4.1/5,"Chaat, Pav Bhaji, Dabeli, Vada Pav, Tawa Pulav, Panipuri, Malpua",200
178,Mitraa Da Pizza,Yes,No,3.8/5,"Pizza, Burgers",250
179,Paradise Premium,Yes,No,3.1/5,"Pizza, Burgers",700
180,Grazers,Yes,Yes,3.9/5,"Burgers, Panneer Butter Masala, Pasta, Hot Dog, Fries, Cheesy Pizza, Potato Wedges",650
181,Shakes Theory,Yes,No,4.5/5,"Sandwiches, Thick Shakes, Paan Shake, Brownie Bomb, Fries, Spinach Corn Sandwich, Paneer Peri Peri",300
182,@Italy,Yes,No,4.1/5,"Pizza, Pasta, Spinach Salsa, Garlic Bread, Lasagne, Bruschettas, Chocolate Bomb",700
183,Chilli Flakes,Yes,No,3.6/5,"Pizza, Pasta, Spinach Salsa, Garlic Bread, Lasagne, Bruschettas, Chocolate Bomb",500
184,Calcutta Cafe,Yes,No,3.5/5,"Pizza, Pasta, Spinach Salsa, Garlic Bread, Lasagne, Bruschettas, Chocolate Bomb",350
185,Old Mumbai Ice Cream,Yes,No,3.9/5,Friendly Staff,150
186,Donne Biriyani House,Yes,No,3.9/5,Biryani,400
187,By 2 Coffee,Yes,No,3.9/5,Biryani,100
188,Kedia's Fun Food,Yes,No,4.3/5,"Paratha, Vada Pav, Chaat, Pav Bhaji, Panipuri, Masala Poori, Dhokla",200
189,Davangere Butter Dosa Hotel,Yes,No,3.8/5,"Paratha, Vada Pav, Chaat, Pav Bhaji, Panipuri, Masala Poori, Dhokla",150
190,Just Shawarma,Yes,No,3.9/5,"Whole Meat Shawarma, Fries",300
191,Mini Punjabi Dhaba,Yes,No,4.2/5,"Panneer Butter Masala, Lassi, Paratha, Jeera Rice, Paneer Parantha, Bhindi Fry, Veg Kolhapuri",350
192,Mulabagilu Dosa,Yes,No,3.6/5,"Panneer Butter Masala, Lassi, Paratha, Jeera Rice, Paneer Parantha, Bhindi Fry, Veg Kolhapuri",100
194,Gokul Veg,Yes,No,3.8/5,"Masala Papad, Paneer Satay, Vegetable Biryani, Panneer Butter Masala, Tomato Soup, Manchow Soup, Roti",750
195,Olive - Era,Yes,No,3.3/5,"Shawarma, Biryani, Bbq Chicken, Chicken Grill, Raita",550
196,Udupi Ruchi,Yes,No,3.9/5,"Shawarma, Biryani, Bbq Chicken, Chicken Grill, Raita",200
197,Madhappa Hindu Military Hotel,Yes,No,3.4/5,"Shawarma, Biryani, Bbq Chicken, Chicken Grill, Raita",300
198,Gama Gama,Yes,No,3.9/5,"Jowar Roti, Buttermilk, Sabudana Vada, Thali, Mirchi Bajji, Brinjal Curry",200
200,Pizza Hut,Yes,No,3.8/5,"Supreme Pizza, Potato Wedges, Masala Lemonade, Tandoori Paneer, Exotic Garlic Bread",750
201,Mangalore Pearl,Yes,No,3.8/5,"Neer Dosa, Sea Food, Ghee Rice, Marwai Sukka, Egg Biryani, Kori Roti, Thai Fish",650
202,Asha Sweets Centre,Yes,No,3.6/5,"Neer Dosa, Sea Food, Ghee Rice, Marwai Sukka, Egg Biryani, Kori Roti, Thai Fish",250
203,Twiststick House,Yes,No,4.1/5,"White Pasta, Noodles, Babycorn Manchurian, Pizza, Veg Momos, Fry Momos, Tawa Pulav",500
204,Cool Corner,Yes,No,4.2/5,"Masala Dosa, Sandwiches, Coffee, Onion Dosa, Rava Dosa, Chaat, Sandwich",250
205,Pizza Mane,Yes,No,3.5/5,"French Fries, Burgers",150
206,Dal Tadkaa,Yes,No,2.5/5,"Paratha, Boondi Raita, Roti, Kulfi, Panneer Butter Masala, Sweet Lassi, Dal Tadka",500
207,Chutney Chang,Yes,Yes,4.1/5,"Veg Momos, Brownie Chocolate, Palak Chaat, Mutton Biryani, Dahipuri, Fish, Sea Food",1500
208,Mystique Palate,Yes,No,4.1/5,"Noodles, Pasta, Schezwan Momos, Chicken Momo, Teriyaki Chicken, Thukpa, Fries",300
209,Thamboola,Yes,No,3.9/5,"Spring Roll, Manchow Soup, Babycorn Manchurian, Mint Cooler, Roti, Panneer Butter Masala",800
210,Castle Rock,Yes,No,3.6/5,Biryani,700
211,Vietnamese Kitchen,Yes,No,3.6/5,"Pho, Papaya Salad, Coffee, Veg Momos, Rolls",700
213,C Corner,Yes,No,3.2/5,"Pho, Papaya Salad, Coffee, Veg Momos, Rolls",200
214,Paratha Merchant,Yes,No,3.1/5,"Pho, Papaya Salad, Coffee, Veg Momos, Rolls",300
215,North Rasoe,Yes,No,3.1/5,"Pho, Papaya Salad, Coffee, Veg Momos, Rolls",500
217,Toscano,Yes,Yes,4.3/5,"Pizza, Pasta, Salads, Calamari, Ravioli, Pumpkin Soup, Wine",1300
218,Lord Of The Kitchen,Yes,No,3.9/5,"Pizza, Pasta, Salads, Calamari, Ravioli, Pumpkin Soup, Wine",350
219,Stoned Monkey,Yes,No,4.3/5,"Nachos, Cup Cake, Hot Chocolate Fudge, Salsa, Cheesy Garlic Bread, Waffles, Tiramisu",500
220,Central Jail Restaurant,Yes,No,3.8/5,"Lime Soda, Manchow Soup, Biryani, Lemon Chicken, Tomato Soup, Butter Naan, Chilli Chicken",700
221,Bella,Yes,Yes,3.9/5,"Murgh Ghee Roast, Fish Fry, Ghee Roast Paneer, Neer Dosa, Appam, Sea Food, Chicken Sukha",1000
222,Vennela Andhra Meals,Yes,No,3.0/5,"Murgh Ghee Roast, Fish Fry, Ghee Roast Paneer, Neer Dosa, Appam, Sea Food, Chicken Sukha",400
223,New Prashanth Hotel,Yes,No,3.6/5,"Ragi Mudde, Lemon Chicken, Chilli Chicken, Chicken Curry, Mutton Chops, Mutton Biryani",750
224,The Grillo,Yes,Yes,2.8/5,"Ragi Mudde, Lemon Chicken, Chilli Chicken, Chicken Curry, Mutton Chops, Mutton Biryani",500
225,Re Malnad Nati Style Hotel,Yes,No,3.6/5,"Ragi Mudde, Lemon Chicken, Chilli Chicken, Chicken Curry, Mutton Chops, Mutton Biryani",400
226,Karma Kaapi,Yes,No,4.4/5,"Pasta, Potato Fries, Potato Wedges, Hot Chocolate, Chaat, Filter Coffee, Americano",250
227,Tiwari's,Yes,No,3.8/5,"Sweet Lassi, Gulab Jamun, Palak Paneer Paratha, Paneer Parantha",200
228,Pizza Stop,Yes,No,3.8/5,"Pizza, White Sauce Pasta, Masala Garlic Bread",600
229,Biggies Burger 'n' More,Yes,No,3.6/5,"Burgers, Fries, Mojito, Chicken Burger",650
231,Kollapuri's,No,No,3.9/5,"Chicken Biryani, Mutton Biryani, Egg Biryani, Chicken Fry, Mutton Fry",450
234,Kadamba Classic,No,No,3.6/5,"Chicken Biryani, Mutton Biryani, Egg Biryani, Chicken Fry, Mutton Fry",300
235,RS Shiv Sagar,No,No,3.7/5,"Chaat, Brownie, Onion Rings, Tomato Soup, Paneer Manchurian, Thali, Faluda",450
236,Kholi Mane,No,No,3.6/5,"Chaat, Brownie, Onion Rings, Tomato Soup, Paneer Manchurian, Thali, Faluda",450
237,Harshi Super Sandwich,No,No,3.8/5,"Sandwiches, Chocolate Sandwich, Chaat, Veg Cheese Sandwich, Chilli Cheese, Corn Sandwich",150
238,Cake Yard,No,No,3.4/5,"Sandwiches, Chocolate Sandwich, Chaat, Veg Cheese Sandwich, Chilli Cheese, Corn Sandwich",250
240,Sri Udupi Veg,No,No,3.3/5,"Sandwiches, Chocolate Sandwich, Chaat, Veg Cheese Sandwich, Chilli Cheese, Corn Sandwich",250
241,Cake Art,No,No,3.5/5,"Sandwiches, Chocolate Sandwich, Chaat, Veg Cheese Sandwich, Chilli Cheese, Corn Sandwich",400
245,Potato House,Yes,No,3.4/5,"Sandwiches, Chocolate Sandwich, Chaat, Veg Cheese Sandwich, Chilli Cheese, Corn Sandwich",200
247,Matru Sagar,Yes,No,3.7/5,"Sandwiches, Chocolate Sandwich, Chaat, Veg Cheese Sandwich, Chilli Cheese, Corn Sandwich",300
248,Ugadi,Yes,No,2.9/5,"Prawn Biryani, Andhra Meal, Veg Thali, Fry Piece Biryani, Gongura Chicken, Paratha",700
249,Sri Krishna Sweets,Yes,No,3.7/5,"Prawn Biryani, Andhra Meal, Veg Thali, Fry Piece Biryani, Gongura Chicken, Paratha",250
250,In Time Cane Juice,Yes,No,3.5/5,"Prawn Biryani, Andhra Meal, Veg Thali, Fry Piece Biryani, Gongura Chicken, Paratha",100
251,Subway,Yes,No,3.7/5,"Veggie Delight, Paneer Tikka, Salad",600
252,Daal Roti,Yes,No,2.9/5,"Veggie Delight, Paneer Tikka, Salad",250
253,The Lassi Park,Yes,No,4.1/5,"Faluda, Brownie, Sandwich, Kulfi, Fruit Salad, Sweet Lassi, Chocolate Fudge",200
254,Cafe Coffee Day,Yes,No,3.2/5,"Faluda, Brownie, Sandwich, Kulfi, Fruit Salad, Sweet Lassi, Chocolate Fudge",900
